funded_amnt,emp_length,home_ownership,annual_inc,last_pymnt_amnt,mort_acc,int_rate,mo_sin_old_rev_tl_op,avg_cur_bal,acc_open_past_24mths,num_sats,loan_status
3600,10+ years,MORTGAGE,55000,122.67,1,13.99,128,20701,4,7,Fully Paid
24700,10+ years,MORTGAGE,65000,926.35,4,11.99,192,9733,4,22,Fully Paid
20000,10+ years,MORTGAGE,63000,15813.3,5,10.78,184,31617,6,6,Fully Paid
35000,10+ years,MORTGAGE,110000,829.9,1,14.85,87,23192,2,13,Current
10400,3 years,MORTGAGE,104433,10128.96,6,22.45,210,27644,10,12,Fully Paid
11950,4 years,RENT,34000,7653.56,0,13.44,54,2560,0,5,Fully Paid
20000,10+ years,MORTGAGE,180000,15681.05,4,9.17,306,30030,6,12,Fully Paid
20000,10+ years,MORTGAGE,85000,14618.23,3,8.49,55,17700,4,8,Fully Paid
10000,6 years,RENT,85000,1814.48,1,6.49,129,1997,7,14,Fully Paid
8000,10+ years,MORTGAGE,42000,4996.24,1,11.48,253,28528,5,8,Fully Paid
22400,6 years,MORTGAGE,95000,508.3,5,12.88,248,23514,9,16,Current
16000,1 year,MORTGAGE,70000,363.07,2,12.88,334,24167,3,13,Current
1400,3 years,MORTGAGE,64000,965.36,4,12.88,234,19159,4,17,Fully Paid
18000,7 years,RENT,150000,471.7,2,19.48,112,2014,7,18,Charged Off
28000,10+ years,MORTGAGE,92000,17093.51,2,6.49,379,13819,1,16,Fully Paid
9600,8 years,MORTGAGE,60000,3480.17,0,7.49,91,7912,2,7,Fully Paid
25000,10+ years,MORTGAGE,109000,20807.39,3,7.49,168,33976,2,9,Fully Paid
18000,10+ years,MORTGAGE,112000,18004.9,4,11.99,265,17089,5,16,Fully Paid
23000,5 years,RENT,64000,471.77,0,8.49,171,3549,3,21,Current
8650,8 years,RENT,55000,8251.42,0,19.89,95,1051,17,18,Fully Paid
29900,10+ years,MORTGAGE,65000,25234.24,2,12.88,139,15732,7,15,Fully Paid
16000,10+ years,MORTGAGE,48000,12322.68,2,14.85,294,2848,6,11,Fully Paid
28000,2 years,OWN,125000,12486.3,0,13.44,187,3797,1,6,Fully Paid
5000,2 years,RENT,79000,169.17,0,13.44,36,11884,1,3,Fully Paid
6000,10+ years,MORTGAGE,100000,186.6,2,7.49,259,12911,1,9,Fully Paid
4225,5 years,RENT,35000,146.16,0,14.85,53,815,0,6,Charged Off
20000,9 years,OWN,65000,3577.5,0,5.32,295,1287,2,12,Fully Paid
16000,< 1 year,MORTGAGE,109000,15481.3,1,17.97,164,16631,5,11,Fully Paid
17600,< 1 year,MORTGAGE,88000,17.88,5,5.32,175,12057,5,20,Fully Paid
15000,10+ years,MORTGAGE,44000,455.59,2,5.32,162,2429,2,7,Fully Paid
16000,10+ years,MORTGAGE,65000,565.09,0,12.88,360,5683,2,7,Charged Off
24250,4 years,MORTGAGE,75000,701.01,2,24.24,104,17783,13,18,Charged Off
12000,1 year,RENT,98000,7884.96,8,10.78,166,26756,5,15,Fully Paid
25000,9 years,MORTGAGE,79000,581.58,6,13.99,174,8556,12,33,Charged Off
16800,10+ years,MORTGAGE,118000,381.23,4,12.88,222,28618,6,11,Current
7000,10+ years,MORTGAGE,59000,425.19,3,7.49,223,6136,2,10,Fully Paid
21000,< 1 year,RENT,52000,12548.3,0,13.99,131,74481,1,5,Fully Paid
27500,10+ years,MORTGAGE,195000,25897.53,1,14.85,173,19107,4,14,Fully Paid
7200,10+ years,MORTGAGE,72500,3755.5,2,11.48,7,29558,4,5,Fully Paid
20000,6 years,RENT,110000,1407.7,0,14.85,102,5356,3,8,Fully Paid
20000,5 years,RENT,70000,2815.6,1,15.77,137,2759,9,24,Fully Paid
10000,2 years,MORTGAGE,55000,253.78,6,17.97,176,20578,4,14,Charged Off
16000,9 years,MORTGAGE,142000,372.21,1,13.99,98,47670,7,15,Current
20000,5 years,RENT,75000,13580.93,1,9.8,283,2864,8,14,Fully Paid
8650,< 1 year,MORTGAGE,100000,2.08,1,5.32,173,13788,5,15,Fully Paid
21000,2 years,RENT,54649,17274.03,2,13.44,194,5721,3,9,Fully Paid
7200,< 1 year,RENT,55000,2602.09,0,15.77,126,11493,12,24,Fully Paid
8800,10+ years,MORTGAGE,92000,4768.52,2,9.8,169,11739,8,9,Fully Paid
14650,2 years,RENT,43160,392.23,0,20.5,45,5234,0,12,Current
2500,10+ years,MORTGAGE,50000,266.79,0,17.27,179,28167,6,7,Fully Paid
11000,10+ years,MORTGAGE,69000,350.59,2,9.17,135,22864,5,9,Fully Paid
23850,10+ years,OWN,68046,596.21,4,17.27,267,47745,0,12,Current
15700,6 years,MORTGAGE,48000,386.74,1,16.59,121,14211,5,19,Current
28800,10+ years,OWN,60000,640.5,2,11.99,322,2428,8,21,Current
10000,4 years,MORTGAGE,91392,6961.97,3,12.88,111,23424,7,13,Fully Paid
24000,,OWN,77900,507.58,2,9.8,398,14157,1,9,Current
28000,10+ years,MORTGAGE,75000,16687.04,2,18.49,158,7176,8,27,Fully Paid
35000,10+ years,MORTGAGE,128000,17952.27,5,11.99,310,8639,3,17,Fully Paid
7200,10+ years,MORTGAGE,50000,6206.89,3,9.17,137,19881,8,13,Fully Paid
10000,2 years,RENT,40100,312.89,0,7.91,206,6839,2,4,Fully Paid
16000,1 year,RENT,42000,367.67,0,13.44,120,2886,1,29,Charged Off
21875,< 1 year,RENT,47590,7662.31,0,11.99,176,5122,2,9,Fully Paid
14025,10+ years,MORTGAGE,39000,12764.01,3,18.49,172,5032,5,12,Fully Paid
35000,7 years,MORTGAGE,106000,794.21,4,12.88,164,37486,0,8,Charged Off
